depth,taxon,count,count_sum,rel_abund
5.75,Fragilaria radians,0,400,0
5.75,Hippodonta hungarica,7,400,1.7500000000000002
5.75,Nitzschia hantzschiana,0,400,0
5.75,Platessa oblongella,5,400,1.25
5.75,Stauroforma exiguiformis,144,400,36
5.75,Staurosira venter,21,400,5.25
5.75,Diatoma sp.,1,400,0.25
6.25,Nitzschia tubicola,2,400,0.5
6.25,Cocconeis scutellum,6,400,1.5
6.25,Navicula hanseatica,11,400,2.75
6.25,Navicula meniscus,19,400,4.75
6.25,Navicula peregrina,8,400,2
6.25,Pinnunavis elegans,5,400,1.25
6.25,Diploneeis smithii,0,400,0
6.25,Navicula gregaria,1,400,0.25
6.25,Planothidium delicathulum,1,400,0.25
6.25,Stephanocyclus meneghinianus,7,400,1.7500000000000002
6.25,Ctenophora pulchella,14,400,3.5000000000000004
6.25,Diatoma moniloformis,8,400,2
6.25,Navicula radiosa,0,400,0
6.25,Nitzschia incospicua,0,400,0
6.25,Pseudostaurosira elliptica,74,400,18.5
6.25,Diatoma tenuis,14,400,3.5000000000000004
6.25,Pseudostaurosira brevistriata,4,400,1
6.25,Nitzschia palea,0,400,0
6.25,Pinnularia borealis,2,400,0.5
6.25,Achnanthidium lineare,0,400,0
6.25,Achnanthidium minutissimum,12,400,3
6.25,Achnanthidium petersenii,27,400,6.75
6.25,Brachysira serians,5,400,1.25
6.25,Cocconeis placentula,0,400,0
6.25,Encyonema neogracile,0,400,0
6.25,Fragilaria exigua,0,400,0
6.25,Fragilaria radians,0,400,0
6.25,Hippodonta hungarica,4,400,1
6.25,Nitzschia hantzschiana,1,400,0.25
6.25,Platessa oblongella,42,400,10.5
6.25,Stauroforma exiguiformis,110,400,27.500000000000004
6.25,Staurosira venter,0,400,0
6.25,Diatoma sp.,0,400,0
6.75,Nitzschia tubicola,0,400,0
6.75,Cocconeis scutellum,5,400,1.25
6.75,Navicula hanseatica,10,400,2.5
6.75,Navicula meniscus,16,400,4
6.75,Navicula peregrina,1,400,0.25
6.75,Pinnunavis elegans,2,400,0.5
6.75,Diploneeis smithii,12,400,3
6.75,Navicula gregaria,0,400,0
6.75,Planothidium delicathulum,1,400,0.25
6.75,Stephanocyclus meneghinianus,7,400,1.7500000000000002
6.75,Ctenophora pulchella,19,400,4.75
6.75,Diatoma moniloformis,0,400,0
6.75,Navicula radiosa,0,400,0
6.75,Nitzschia incospicua,0,400,0
6.75,Pseudostaurosira elliptica,59,400,14.75
6.75,Diatoma tenuis,4,400,1
6.75,Pseudostaurosira brevistriata,5,400,1.25
6.75,Nitzschia palea,2,400,0.5
6.75,Pinnularia borealis,4,400,1
6.75,Achnanthidium lineare,16,400,4
6.75,Achnanthidium minutissimum,14,400,3.5000000000000004
6.75,Achnanthidium petersenii,23,400,5.75
6.75,Brachysira serians,9,400,2.25
6.75,Cocconeis placentula,0,400,0
6.75,Encyonema neogracile,0,400,0
6.75,Fragilaria exigua,0,400,0
6.75,Fragilaria radians,0,400,0
6.75,Hippodonta hungarica,6,400,1.5
6.75,Nitzschia hantzschiana,2,400,0.5
6.75,Platessa oblongella,24,400,6
6.75,Stauroforma exiguiformis,134,400,33.5
6.75,Staurosira venter,0,400,0
6.75,Diatoma sp.,8,400,2
7.25,Nitzschia tubicola,0,400,0
7.25,Cocconeis scutellum,1,400,0.25
7.25,Navicula hanseatica,9,400,2.25
7.25,Navicula meniscus,17,400,4.25
7.25,Navicula peregrina,1,400,0.25
7.25,Pinnunavis elegans,3,400,0.75
7.25,Diploneeis smithii,0,400,0
7.25,Navicula gregaria,2,400,0.5
7.25,Planothidium delicathulum,2,400,0.5
7.25,Stephanocyclus meneghinianus,6,400,1.5
7.25,Ctenophora pulchella,18,400,4.5
7.25,Diatoma moniloformis,5,400,1.25
7.25,Navicula radiosa,0,400,0
7.25,Nitzschia incospicua,0,400,0
7.25,Pseudostaurosira elliptica,79,400,19.75
7.25,Diatoma tenuis,3,400,0.75
7.25,Pseudostaurosira brevistriata,6,400,1.5
7.25,Nitzschia palea,0,400,0
7.25,Pinnularia borealis,5,400,1.25
7.25,Achnanthidium lineare,20,400,5
7.25,Achnanthidium minutissimum,13,400,3.25
7.25,Achnanthidium petersenii,22,400,5.5
7.25,Brachysira serians,6,400,1.5
7.25,Cocconeis placentula,1,400,0.25
7.25,Encyonema neogracile,0,400,0
7.25,Fragilaria exigua,0,400,0
7.25,Fragilaria radians,0,400,0
7.25,Hippodonta hungarica,1,400,0.25
7.25,Nitzschia hantzschiana,3,400,0.75
7.25,Platessa oblongella,40,400,10
7.25,Stauroforma exiguiformis,114,400,28.499999999999996
7.25,Staurosira venter,0,400,0
7.25,Diatoma sp.,5,400,1.25
7.75,Nitzschia tubicola,0,400,0
7.75,Cocconeis scutellum,2,400,0.5
7.75,Navicula hanseatica,6,400,1.5
7.75,Navicula meniscus,14,400,3.5000000000000004
7.75,Navicula peregrina,5,400,1.25
7.75,Pinnunavis elegans,6,400,1.5
7.75,Diploneeis smithii,2,400,0.5
7.75,Navicula gregaria,2,400,0.5
7.75,Planothidium delicathulum,10,400,2.5
7.75,Stephanocyclus meneghinianus,3,400,0.75
7.75,Ctenophora pulchella,14,400,3.5000000000000004
7.75,Diatoma moniloformis,9,400,2.25
7.75,Navicula radiosa,0,400,0
7.75,Nitzschia incospicua,0,400,0
7.75,Pseudostaurosira elliptica,97,400,24.25
7.75,Diatoma tenuis,1,400,0.25
7.75,Pseudostaurosira brevistriata,6,400,1.5
7.75,Nitzschia palea,0,400,0
7.75,Pinnularia borealis,4,400,1
7.75,Achnanthidium lineare,10,400,2.5
7.75,Achnanthidium minutissimum,23,400,5.75
7.75,Achnanthidium petersenii,40,400,10
7.75,Brachysira serians,13,400,3.25
7.75,Cocconeis placentula,0,400,0
7.75,Encyonema neogracile,0,400,0
7.75,Fragilaria exigua,0,400,0
7.75,Fragilaria radians,0,400,0
7.75,Hippodonta hungarica,3,400,0.75
7.75,Nitzschia hantzschiana,2,400,0.5
7.75,Platessa oblongella,22,400,5.5
7.75,Stauroforma exiguiformis,81,400,20.25
7.75,Staurosira venter,0,400,0
7.75,Diatoma sp.,9,400,2.25
10.25,Nitzschia tubicola,0,400,0
10.25,Cocconeis scutellum,4,400,1
10.25,Navicula hanseatica,7,400,1.7500000000000002
10.25,Navicula meniscus,14,400,3.5000000000000004
10.25,Navicula peregrina,4,400,1
10.25,Pinnunavis elegans,10,400,2.5
10.25,Diploneeis smithii,2,400,0.5
10.25,Navicula gregaria,4,400,1
10.25,Planothidium delicathulum,8,400,2
10.25,Stephanocyclus meneghinianus,4,400,1
10.25,Ctenophora pulchella,15,400,3.75
10.25,Diatoma moniloformis,4,400,1
10.25,Navicula radiosa,0,400,0
10.25,Nitzschia incospicua,0,400,0
10.25,Pseudostaurosira elliptica,76,400,19
10.25,Diatoma tenuis,2,400,0.5
10.25,Pseudostaurosira brevistriata,14,400,3.5000000000000004
10.25,Nitzschia palea,0,400,0
10.25,Pinnularia borealis,2,400,0.5
10.25,Achnanthidium lineare,11,400,2.75
10.25,Achnanthidium minutissimum,14,400,3.5000000000000004
10.25,Achnanthidium petersenii,45,400,11.25
10.25,Brachysira serians,5,400,1.25
10.25,Cocconeis placentula,5,400,1.25
10.25,Encyonema neogracile,0,400,0
10.25,Fragilaria exigua,0,400,0
10.25,Fragilaria radians,0,400,0
10.25,Hippodonta hungarica,2,400,0.5
10.25,Nitzschia hantzschiana,3,400,0.75
10.25,Platessa oblongella,23,400,5.75
10.25,Stauroforma exiguiformis,102,400,25.5
10.25,Staurosira venter,0,400,0
10.25,Diatoma sp.,3,400,0.75
13.25,Nitzschia tubicola,0,400,0
13.25,Cocconeis scutellum,0,400,0
13.25,Navicula hanseatica,20,400,5
13.25,Navicula meniscus,11,400,2.75
13.25,Navicula peregrina,5,400,1.25
13.25,Pinnunavis elegans,5,400,1.25
13.25,Diploneeis smithii,0,400,0
13.25,Navicula gregaria,0,400,0
13.25,Planothidium delicathulum,0,400,0
13.25,Stephanocyclus meneghinianus,7,400,1.7500000000000002
13.25,Ctenophora pulchella,20,400,5
13.25,Diatoma moniloformis,2,400,0.5
13.25,Navicula radiosa,0,400,0
13.25,Nitzschia incospicua,0,400,0
13.25,Pseudostaurosira elliptica,53,400,13.25
13.25,Diatoma tenuis,0,400,0
13.25,Pseudostaurosira brevistriata,20,400,5
13.25,Nitzschia palea,3,400,0.75
13.25,Pinnularia borealis,9,400,2.25
13.25,Achnanthidium lineare,2,400,0.5
13.25,Achnanthidium minutissimum,17,400,4.25
13.25,Achnanthidium petersenii,12,400,3
13.25,Brachysira serians,0,400,0
13.25,Cocconeis placentula,0,400,0
13.25,Encyonema neogracile,0,400,0
13.25,Fragilaria exigua,10,400,2.5
13.25,Fragilaria radians,0,400,0
13.25,Hippodonta hungarica,6,400,1.5
13.25,Nitzschia hantzschiana,0,400,0
13.25,Platessa oblongella,4,400,1
13.25,Stauroforma exiguiformis,150,400,37.5
13.25,Staurosira venter,5,400,1.25
13.25,Diatoma sp.,0,400,0
16.25,Nitzschia tubicola,1,400,0.25
16.25,Cocconeis scutellum,1,400,0.25
16.25,Navicula hanseatica,13,400,3.25
16.25,Navicula meniscus,16,400,4
16.25,Navicula peregrina,2,400,0.5
16.25,Pinnunavis elegans,5,400,1.25
16.25,Diploneeis smithii,0,400,0
16.25,Navicula gregaria,4,400,1
16.25,Planothidium delicathulum,19,400,4.75
16.25,Stephanocyclus meneghinianus,2,400,0.5
16.25,Ctenophora pulchella,8,400,2
16.25,Diatoma moniloformis,4,400,1
16.25,Navicula radiosa,0,400,0
16.25,Nitzschia incospicua,0,400,0
16.25,Pseudostaurosira elliptica,50,400,12.5
16.25,Diatoma tenuis,3,400,0.75
16.25,Pseudostaurosira brevistriata,10,400,2.5
16.25,Nitzschia palea,4,400,1
16.25,Pinnularia borealis,7,400,1.7500000000000002
16.25,Achnanthidium lineare,15,400,3.75
16.25,Achnanthidium minutissimum,13,400,3.25
16.25,Achnanthidium petersenii,22,400,5.5
16.25,Brachysira serians,10,400,2.5
16.25,Cocconeis placentula,0,400,0
16.25,Encyonema neogracile,0,400,0
16.25,Fragilaria exigua,0,400,0
16.25,Fragilaria radians,0,400,0
16.25,Hippodonta hungarica,7,400,1.7500000000000002
16.25,Nitzschia hantzschiana,2,400,0.5
16.25,Platessa oblongella,46,400,11.5
16.25,Stauroforma exiguiformis,112,400,28.000000000000004
16.25,Staurosira venter,0,400,0
16.25,Diatoma sp.,3,400,0.75
19.25,Nitzschia tubicola,0,400,0
19.25,Cocconeis scutellum,0,400,0
19.25,Navicula hanseatica,7,400,1.7500000000000002
19.25,Navicula meniscus,24,400,6
19.25,Navicula peregrina,3,400,0.75
19.25,Pinnunavis elegans,6,400,1.5
19.25,Diploneeis smithii,0,400,0
19.25,Navicula gregaria,2,400,0.5
19.25,Planothidium delicathulum,12,400,3
19.25,Stephanocyclus meneghinianus,4,400,1
19.25,Ctenophora pulchella,4,400,1
19.25,Diatoma moniloformis,1,400,0.25
19.25,Navicula radiosa,0,400,0
19.25,Nitzschia incospicua,0,400,0
19.25,Pseudostaurosira elliptica,88,400,22
19.25,Diatoma tenuis,0,400,0
19.25,Pseudostaurosira brevistriata,9,400,2.25
19.25,Nitzschia palea,0,400,0
19.25,Pinnularia borealis,10,400,2.5
19.25,Achnanthidium lineare,4,400,1
19.25,Achnanthidium minutissimum,12,400,3
19.25,Achnanthidium petersenii,28,400,7.000000000000001
19.25,Brachysira serians,2,400,0.5
19.25,Cocconeis placentula,1,400,0.25
19.25,Encyonema neogracile,1,400,0.25
19.25,Fragilaria exigua,0,400,0
19.25,Fragilaria radians,0,400,0
19.25,Hippodonta hungarica,4,400,1
19.25,Nitzschia hantzschiana,0,400,0
19.25,Platessa oblongella,31,400,7.75
19.25,Stauroforma exiguiformis,120,400,30
19.25,Staurosira venter,0,400,0
19.25,Diatoma sp.,0,400,0
21.75,Nitzschia tubicola,0,400,0
21.75,Cocconeis scutellum,0,400,0
21.75,Navicula hanseatica,6,400,1.5
21.75,Navicula meniscus,37,400,9.25
21.75,Navicula peregrina,1,400,0.25
21.75,Pinnunavis elegans,4,400,1
21.75,Diploneeis smithii,0,400,0
21.75,Navicula gregaria,3,400,0.75
21.75,Planothidium delicathulum,5,400,1.25
21.75,Stephanocyclus meneghinianus,2,400,0.5
21.75,Ctenophora pulchella,3,400,0.75
21.75,Diatoma moniloformis,1,400,0.25
21.75,Navicula radiosa,0,400,0
21.75,Nitzschia incospicua,4,400,1
21.75,Pseudostaurosira elliptica,55,400,13.750000000000002
21.75,Diatoma tenuis,1,400,0.25
21.75,Pseudostaurosira brevistriata,6,400,1.5
21.75,Nitzschia palea,0,400,0
21.75,Pinnularia borealis,2,400,0.5
21.75,Achnanthidium lineare,1,400,0.25
21.75,Achnanthidium minutissimum,24,400,6
21.75,Achnanthidium petersenii,44,400,11
21.75,Brachysira serians,4,400,1
21.75,Cocconeis placentula,0,400,0
21.75,Encyonema neogracile,0,400,0
21.75,Fragilaria exigua,0,400,0
21.75,Fragilaria radians,2,400,0.5
21.75,Hippodonta hungarica,1,400,0.25
21.75,Nitzschia hantzschiana,4,400,1
21.75,Platessa oblongella,45,400,11.25
21.75,Stauroforma exiguiformis,111,400,27.750000000000004
21.75,Staurosira venter,0,400,0
21.75,Diatoma sp.,2,400,0.5
22.25,Nitzschia tubicola,0,400,0
22.25,Cocconeis scutellum,2,400,0.5
22.25,Navicula hanseatica,8,400,2
22.25,Navicula meniscus,32,400,8
22.25,Navicula peregrina,0,400,0
22.25,Pinnunavis elegans,3,400,0.75
22.25,Diploneeis smithii,0,400,0
22.25,Navicula gregaria,1,400,0.25
22.25,Planothidium delicathulum,3,400,0.75
22.25,Stephanocyclus meneghinianus,0,400,0
22.25,Ctenophora pulchella,0,400,0
22.25,Diatoma moniloformis,0,400,0
22.25,Navicula radiosa,0,400,0
22.25,Nitzschia incospicua,6,400,1.5
22.25,Pseudostaurosira elliptica,89,400,22.25
22.25,Diatoma tenuis,0,400,0
22.25,Pseudostaurosira brevistriata,1,400,0.25
22.25,Nitzschia palea,0,400,0
22.25,Pinnularia borealis,3,400,0.75
22.25,Achnanthidium lineare,1,400,0.25
22.25,Achnanthidium minutissimum,16,400,4
22.25,Achnanthidium petersenii,26,400,6.5
22.25,Brachysira serians,10,400,2.5
22.25,Cocconeis placentula,0,400,0
22.25,Encyonema neogracile,2,400,0.5
22.25,Fragilaria exigua,0,400,0
22.25,Fragilaria radians,0,400,0
22.25,Hippodonta hungarica,1,400,0.25
22.25,Nitzschia hantzschiana,1,400,0.25
22.25,Platessa oblongella,34,400,8.5
22.25,Stauroforma exiguiformis,125,400,31.25
22.25,Staurosira venter,0,400,0
22.25,Diatoma sp.,1,400,0.25
22.75,Nitzschia tubicola,0,400,0
22.75,Cocconeis scutellum,1,400,0.25
22.75,Navicula hanseatica,2,400,0.5
22.75,Navicula meniscus,16,400,4
22.75,Navicula peregrina,0,400,0
22.75,Pinnunavis elegans,1,400,0.25
22.75,Diploneeis smithii,0,400,0
22.75,Navicula gregaria,0,400,0
22.75,Planothidium delicathulum,5,400,1.25
22.75,Stephanocyclus meneghinianus,1,400,0.25
22.75,Ctenophora pulchella,5,400,1.25
22.75,Diatoma moniloformis,0,400,0
22.75,Navicula radiosa,0,400,0
22.75,Nitzschia incospicua,8,400,2
22.75,Pseudostaurosira elliptica,72,400,18
22.75,Diatoma tenuis,0,400,0
22.75,Pseudostaurosira brevistriata,4,400,1
22.75,Nitzschia palea,0,400,0
22.75,Pinnularia borealis,0,400,0
22.75,Achnanthidium lineare,5,400,1.25
22.75,Achnanthidium minutissimum,24,400,6
22.75,Achnanthidium petersenii,25,400,6.25
22.75,Brachysira serians,5,400,1.25
22.75,Cocconeis placentula,0,400,0
22.75,Encyonema neogracile,2,400,0.5
22.75,Fragilaria exigua,0,400,0
22.75,Fragilaria radians,1,400,0.25
22.75,Hippodonta hungarica,1,400,0.25
22.75,Nitzschia hantzschiana,0,400,0
22.75,Platessa oblongella,32,400,8
22.75,Stauroforma exiguiformis,158,400,39.5
22.75,Staurosira venter,0,400,0
22.75,Diatoma sp.,3,400,0.75
23.25,Nitzschia tubicola,0,400,0
23.25,Cocconeis scutellum,0,400,0
23.25,Navicula hanseatica,6,400,1.5
23.25,Navicula meniscus,32,400,8
23.25,Navicula peregrina,4,400,1
23.25,Pinnunavis elegans,4,400,1
23.25,Diploneeis smithii,0,400,0
23.25,Navicula gregaria,0,400,0
23.25,Planothidium delicathulum,4,400,1
23.25,Stephanocyclus meneghinianus,2,400,0.5
23.25,Ctenophora pulchella,4,400,1
23.25,Diatoma moniloformis,6,400,1.5
23.25,Navicula radiosa,0,400,0
23.25,Nitzschia incospicua,6,400,1.5
23.25,Pseudostaurosira elliptica,42,400,10.5
23.25,Diatoma tenuis,0,400,0
23.25,Pseudostaurosira brevistriata,6,400,1.5
23.25,Nitzschia palea,0,400,0
23.25,Pinnularia borealis,2,400,0.5
23.25,Achnanthidium lineare,8,400,2
23.25,Achnanthidium minutissimum,24,400,6
23.25,Achnanthidium petersenii,21,400,5.25
23.25,Brachysira serians,8,400,2
23.25,Cocconeis placentula,0,400,0
23.25,Encyonema neogracile,2,400,0.5
23.25,Fragilaria exigua,0,400,0
23.25,Fragilaria radians,0,400,0
23.25,Hippodonta hungarica,0,400,0
23.25,Nitzschia hantzschiana,5,400,1.25
23.25,Platessa oblongella,43,400,10.75
23.25,Stauroforma exiguiformis,126,400,31.5
23.25,Staurosira venter,0,400,0
23.25,Diatoma sp.,5,400,1.25
23.75,Nitzschia tubicola,0,400,0
23.75,Cocconeis scutellum,0,400,0
23.75,Navicula hanseatica,6,400,1.5
23.75,Navicula meniscus,15,400,3.75
23.75,Navicula peregrina,1,400,0.25
23.75,Pinnunavis elegans,2,400,0.5
23.75,Diploneeis smithii,0,400,0
23.75,Navicula gregaria,8,400,2
23.75,Planothidium delicathulum,1,400,0.25
23.75,Stephanocyclus meneghinianus,0,400,0
23.75,Ctenophora pulchella,1,400,0.25
23.75,Diatoma moniloformis,1,400,0.25
23.75,Navicula radiosa,1,400,0.25
23.75,Nitzschia incospicua,2,400,0.5
23.75,Pseudostaurosira elliptica,65,400,16.25
23.75,Diatoma tenuis,0,400,0
23.75,Pseudostaurosira brevistriata,17,400,4.25
23.75,Nitzschia palea,12,400,3
23.75,Pinnularia borealis,4,400,1
23.75,Achnanthidium lineare,0,400,0
23.75,Achnanthidium minutissimum,11,400,2.75
23.75,Achnanthidium petersenii,4,400,1
23.75,Brachysira serians,1,400,0.25
23.75,Cocconeis placentula,0,400,0
23.75,Encyonema neogracile,2,400,0.5
23.75,Fragilaria exigua,5,400,1.25
23.75,Fragilaria radians,0,400,0
23.75,Hippodonta hungarica,6,400,1.5
23.75,Nitzschia hantzschiana,0,400,0
23.75,Platessa oblongella,3,400,0.75
23.75,Stauroforma exiguiformis,165,400,41.25
23.75,Staurosira venter,1,400,0.25
23.75,Diatoma sp.,0,400,0
24.25,Nitzschia tubicola,0,400,0
24.25,Cocconeis scutellum,0,400,0
24.25,Navicula hanseatica,4,400,1
24.25,Navicula meniscus,19,400,4.75
24.25,Navicula peregrina,2,400,0.5
24.25,Pinnunavis elegans,1,400,0.25
24.25,Diploneeis smithii,0,400,0
24.25,Navicula gregaria,0,400,0
24.25,Planothidium delicathulum,8,400,2
